WBGene00000001	aap-1	Y110A7A.10	ENSG00000145675;ENSG00000105647;ENSG00000117461;ENSG00000268173;ENSG00000278139	PIK3R1;PIK3R2;PIK3R3;;	Agammaglobulinemia 7, autosomal recessive, 615214|Immunodeficiency 36, 616005|SHORT syndrome, 269880;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1, 603387;;;
WBGene00018756		F53C3.13	ENSG00000067113;ENSG00000141934;ENSG00000162407	PLPP1;PLPP2;PLPP3	
WBGene00018757	tag-304	F53E2.1	ENSG00000101193	GID8	
WBGene00018758		F53E10.1	ENSG00000186205;ENSG00000117791	MARC1;MARC2	
WBGene00018762		F53E10.6	ENSG00000067533	RRP15	
WBGene00018763		F53F10.1	ENSG00000135736;ENSG00000150636	CCDC102A;CCDC102B	
WBGene00018764		F53F10.2	ENSG00000115758;ENSG00000142920;ENSG00000155096	ODC1;AZIN2;AZIN1	Colonic adenoma recurrence, reduced risk of, 114500;;
WBGene00018765		F53F10.3	ENSG00000143158	MPC2	
WBGene00018769	mnat-1	F53G2.7	ENSG00000020426	MNAT1	
WBGene00018771	duox-2	F53G12.3	ENSG00000140279;ENSG00000137857;ENSG00000007952;ENSG00000074771;ENSG00000165168	DUOX2;DUOX1;NOX1;NOX3;CYBB	Thyroid dyshormonogenesis 6, 607200;;;;Chronic granulomatous disease, X-linked, 306400|Immunodeficiency 34, mycobacteriosis, X-linked, 300645
WBGene00018774		F53G12.9	ENSG00000146267	FAXC	
WBGene00018776		F53H1.1	ENSG00000145833	DDX46	
WBGene00018777		F53H1.3	ENSG00000205593;ENSG00000174839	DENND6B;DENND6A	
WBGene00018779		F53H8.3	ENSG00000059804;ENSG00000109667;ENSG00000117394;ENSG00000133460;ENSG00000142583;ENSG00000163581;ENSG00000173262;ENSG00000181856;ENSG00000197241;ENSG00000251357	SLC2A3;SLC2A9;SLC2A1;SLC2A11;SLC2A5;SLC2A2;SLC2A14;SLC2A4;SLC2A7;	Hypouricemia, renal, 2, 612076|Uric acid concentration, serum, QTL 2, 612076;Dystonia 9, 601042|Epilepsy, idiopathic generalized, susceptibility to, 12, 614847|GLUT1 deficiency syndrome 1, infantile onset, severe, 606777|GLUT1 deficiency syndrome 2, childhood onset, 612126|Stomatin-deficient cryohydrocytosis with neurologic defects, 608885;;;Diabetes mellitus, noninsulin-dependent, 125853|Fanconi-Bickel syndrome, 227810;;;;
WBGene00018781		F54A3.2	ENSG00000175216	CKAP5	
WBGene00018782	cct-3	F54A3.3	ENSG00000163468	CCT3	
WBGene00018783	cbs-2	F54A3.4	ENSG00000160200	CBS	Homocystinuria, B6-responsive and nonresponsive types, 236200|Thrombosis, hyperhomocysteinemic, 236200
WBGene00018784		F54A3.5	ENSG00000173436	MINOS1	
WBGene00018786	hmbx-1	F54A5.1	ENSG00000147421;ENSG00000135100;ENSG00000275410	HMBOX1;HNF1A;HNF1B	Diabetes mellitus, insulin-dependent, 20, 612520|Diabetes mellitus, insulin-dependent, 222100|Diabetes mellitus, noninsulin-dependent, 2, 125853|Hepatic adenoma, somatic, 142330|MODY, type III, 600496|Renal cell carcinoma, 144700;Diabetes mellitus, noninsulin-dependent, 125853|Renal cell carcinoma, 144700|Renal cysts and diabetes syndrome, 137920
WBGene00018788	shc-1	F54A5.3	ENSG00000160691;ENSG00000129946;ENSG00000148082;ENSG00000185634	SHC1;SHC2;SHC3;SHC4	
WBGene00018793	mrpl-40	F54C4.1	ENSG00000185608	MRPL40	
WBGene00018797		F54D7.2	ENSG00000138018;ENSG00000134255	SELENOI;CEPT1	
WBGene00018798	gnrr-1	F54D7.3	ENSG00000109163	GNRHR	Hypogonadotropic hypogonadism 7 without anosmia, 146110
WBGene00018802		F54D8.6	ENSG00000238104	PPP1R10	
WBGene00018812	sumv-2	F54D11.2	ENSG00000114982	KANSL3	
WBGene00018819	rog-1	F54D12.6	ENSG00000137218;ENSG00000166225	FRS3;FRS2	
WBGene00018827	pst-2	F54E7.1	ENSG00000124786;ENSG00000121073	SLC35B3;SLC35B1	
WBGene00018831		F54E7.9	ENSG00000122390;ENSG00000121579	NAA60;NAA50	
WBGene00018835		F54F2.7	ENSG00000119328;ENSG00000173988	FAM206A;LRRC63	
WBGene00018836		F54F2.9	ENSG00000136770	DNAJC1	
WBGene00018837		F54G2.1	ENSG00000007516;ENSG00000092929	BAIAP3;UNC13D	Hemophagocytic lymphohistiocytosis, familial, 3, 608898
WBGene00018846	eef-1B.1	F54H12.6	ENSG00000114942;ENSG00000104529;ENSG00000273594;ENSG00000283391	EEF1B2;EEF1D;EEF1D;EEF1B2	
WBGene00018847	marc-6	F55A3.1	ENSG00000145495	MARCH6	
WBGene00018849		F55A3.3	ENSG00000092201	SUPT16H	
WBGene00018851		F55A3.6	ENSG00000086288;ENSG00000112981;ENSG00000143156;ENSG00000172113;ENSG00000181322	NME8;NME5;NME7;NME6;NME9	Ciliary dyskinesia, primary, 6, 610852;;;;
WBGene00018852		F55A3.7	ENSG00000092201	SUPT16H	
WBGene00018853	sec-22	F55A4.1	ENSG00000265808;ENSG00000121542;ENSG00000093183	SEC22B;SEC22A;SEC22C	
WBGene00018857	stau-1	F55A4.5	ENSG00000040341;ENSG00000124214	STAU2;STAU1	
WBGene00018860		F55A4.8	ENSG00000146409	SLC18B1	
WBGene00018866	nath-10	F55A12.8	ENSG00000135372	NAT10	
WBGene00018867		F55A12.10	ENSG00000178222	RNF212	Recombination rate QTL 1, 612042
WBGene00018869	rfip-1	F55C12.1	ENSG00000131242;ENSG00000090565;ENSG00000275338	RAB11FIP4;RAB11FIP3;RAB11FIP3	
WBGene00018872		F55C12.5	ENSG00000136478	TEX2	
WBGene00018877	aman-1	F55D10.1	ENSG00000104774;ENSG00000269242;ENSG00000269590	MAN2B1;;	Mannosidosis, alpha-, types I and II, 248500;;
WBGene00018878	glit-1	F55D10.3	ENSG00000042832	TG	Autoimmune thyroid disease, susceptibility to, 3, 608175|Thyroid dyshormonogenesis 3, 274700
WBGene00018880	acc-3	F55D10.5	ENSG00000102287;ENSG00000113327;ENSG00000163285;ENSG00000182256	GABRE;GABRG2;GABRG1;GABRG3	Epilepsy, childhood absence, susceptibility to, 2, 607681|Epilepsy, generalized, with febrile seizures plus, type 3, 611277|Febrile seizures, familial, 8, 611277;;
WBGene00018885	drd-5	F55E10.6	ENSG00000025423;ENSG00000073737;ENSG00000135437;ENSG00000139547;ENSG00000170426	HSD17B6;DHRS9;RDH5;RDH16;SDR9C7	Fundus albipunctatus, 136880;;Ichthyosis, congenital, autosomal recessive 13, 617574
WBGene00018886	npr-28	F55E10.7	ENSG00000128285;ENSG00000152034	MCHR1;MCHR2	
WBGene00018890		F55F8.2	ENSG00000089737;ENSG00000273761	DDX24;DDX24	
WBGene00018891		F55F8.3	ENSG00000241945;ENSG00000275464	PWP2;	
WBGene00018892	cir-1	F55F8.4	ENSG00000138433	CIR1	
WBGene00018893	wdr-12	F55F8.5	ENSG00000138442	WDR12	
WBGene00018895		F55F8.7	ENSG00000072135;ENSG00000127947;ENSG00000134242	PTPN18;PTPN12;PTPN22	Colon cancer, somatic, 114500;Diabetes, type 1, susceptibility to, 222100|Rheumatoid arthritis, susceptibility to, 180300|Systemic lupus erythematosus susceptibility to, 152700
WBGene00018897		F55F8.9	ENSG00000141873;ENSG00000143570;ENSG00000165794	SLC39A3;SLC39A1;SLC39A2	
WBGene00018898		F55F10.1	ENSG00000112159	MDN1	
WBGene00018900	rod-1	F55G1.4	ENSG00000184445	KNTC1	
WBGene00018901		F55G1.5	ENSG00000177542;ENSG00000182902	SLC25A22;SLC25A18	Epileptic encephalopathy, early infantile, 3, 609304;
WBGene00018904		F55G1.9	ENSG00000104524	PYCR3	
WBGene00018906	egas-4	F55G1.13	ENSG00000128606	LRRC17	
WBGene00018909	slx-1	F56A3.2	ENSG00000132207;ENSG00000181625	SLX1A;SLX1B	
WBGene00018911		F56A4.3	ENSG00000084207;ENSG00000170899;ENSG00000174156;ENSG00000182793;ENSG00000243955;ENSG00000244067	GSTP1;GSTA4;GSTA3;GSTA5;GSTA1;GSTA2	
WBGene00018912		F56A4.4	ENSG00000084207;ENSG00000170899;ENSG00000174156;ENSG00000182793;ENSG00000243955;ENSG00000244067	GSTP1;GSTA4;GSTA3;GSTA5;GSTA1;GSTA2	
WBGene00018925		F56A11.5	ENSG00000186205;ENSG00000117791	MARC1;MARC2	
WBGene00018926		F56A11.6	ENSG00000111011	RSRC2	
WBGene00018930		F56B3.6	ENSG00000115255;ENSG00000129625	REEP6;REEP5	Retinitis pigmentosa 77, 617304;
WBGene00018932	mrpl-2	F56B3.8	ENSG00000112651;ENSG00000161016	MRPL2;RPL8	
WBGene00018934		F56B3.11	ENSG00000075336	TIMM21	
WBGene00018935	skr-18	F56B3.12	ENSG00000113558;ENSG00000272772	SKP1;	
WBGene00018949	acbp-4	F56C9.5	ENSG00000107897;ENSG00000181513	ACBD5;ACBD4	
WBGene00018953		F56C9.10	ENSG00000141376	BCAS3	
WBGene00018955		F56C11.3	ENSG00000127554	GFER	Myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay, 61
WBGene00018959		F56D1.1	ENSG00000130856;ENSG00000066827	ZNF236;ZFAT	Autoimmune thyroid disease, susceptibility to, 3, 608175
WBGene00018961	mrps-16	F56D1.3	ENSG00000182180	MRPS16	Combined oxidative phosphorylation deficiency 2, 610498
WBGene00018963	ucr-1	F56D2.1	ENSG00000010256;ENSG00000105819	UQCRC1;PMPCB	
WBGene00018964		F56D2.2	ENSG00000013561	RNF14	
WBGene00018966		F56D2.5	ENSG00000013561	RNF14	
WBGene00018967	ddx-15	F56D2.6	ENSG00000109606;ENSG00000140829;ENSG00000204560;ENSG00000067596;ENSG00000206486;ENSG00000226171;ENSG00000231377;ENSG00000233049;ENSG00000233418;ENSG00000233561;ENSG00000227222	DHX15;DHX38;DHX16;DHX8;DHX16;DHX16;DHX16;DHX16;DHX16;DHX16;DHX16	
WBGene00018974	fcho-1	F56D12.6	ENSG00000157107;ENSG00000130475;ENSG00000118473	FCHO2;FCHO1;SGIP1	
WBGene00018976	daam-1	F56E10.2	ENSG00000100592;ENSG00000146122	DAAM1;DAAM2	
WBGene00018982	abt-6	F56F4.6	ENSG00000143921	ABCG8	Gallbladder disease 4, 611465|Sitosterolemia, 210250
WBGene00018984		F56F10.1	ENSG00000112812	PRSS16	
WBGene00018986	cdo-1	F56F10.3	ENSG00000129596	CDO1	
WBGene00018987	lgl-1	F56F10.4	ENSG00000073350;ENSG00000131899	LLGL2;LLGL1	
WBGene00018990	klf-1	F56F11.3	ENSG00000102554;ENSG00000067082;ENSG00000102349;ENSG00000109787;ENSG00000118263;ENSG00000118922	KLF5;KLF6;KLF8;KLF3;KLF7;KLF12	Gastric cancer, somatic, 613659|Prostate cancer, somatic, 176807;;;;
WBGene00018991		F56F11.4	ENSG00000087191	PSMC5	
WBGene00018995	ccpp-1	F56H1.5	ENSG00000135049;ENSG00000273540;ENSG00000146856;ENSG00000165923	AGTPBP1;AGBL1;AGBL3;AGBL2	Corneal dystrophy, Fuchs endothelial, 8, 615523;;
WBGene00018996		F57B9.1	ENSG00000108439	PNPO	Pyridoxamine 5'-phosphate oxidase deficiency, 610090
WBGene00018997		F57B9.3	ENSG00000156976;ENSG00000161960	EIF4A2;EIF4A1	
WBGene00018998	flap-1	F57B9.7	ENSG00000093167;ENSG00000124831	LRRFIP2;LRRFIP1	
WBGene00018999		F57B9.8	ENSG00000151422;ENSG00000182511	FER;FES	
WBGene00019003		F57B10.5	ENSG00000134970;ENSG00000166557;ENSG00000243414;ENSG00000251201	TMED7;TMED3;TICAM2;TMED7-TICAM2	
WBGene00019004	xpg-1	F57B10.6	ENSG00000134899;ENSG00000270181	ERCC5;BIVM-ERCC5	Cerebrooculofacioskeletal syndrome 3, 616570|Xeroderma pigmentosum, group G, 278780|Xeroderma pigmentosum, group G/Cockayne syndrome, 278780;
WBGene00019005		F57B10.8	ENSG00000146109	ABT1	
WBGene00019006	spg-20	F57B10.9	ENSG00000133104	SPG20	Troyer syndrome, 275900
WBGene00019008		F57C9.1	ENSG00000160209	PDXK	
WBGene00019015		F57F4.1	ENSG00000123130	ACOT9	
WBGene00019017		F57F4.4	ENSG00000074181	NOTCH3	Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy 1, 125310|Lateral meningocele syndrome, 130720|Myofibromatosis, infantile 2, 615293
WBGene00019018	abts-3	F57F10.1	ENSG00000088836	SLC4A11	Corneal dystrophy, Fuchs endothelial, 4, 613268|Corneal endothelial dystrophy and perceptive deafness, 217400|Corneal endothelial dystrophy, autosomal recessive, 217700
WBGene00019022		F58A6.1	ENSG00000104823;ENSG00000282853;ENSG00000268083	ECH1;ECH1;	
WBGene00019030	exc-6	F58B6.2	ENSG00000137460;ENSG00000203485;ENSG00000215045	FHDC1;INF2;GRID2IP	Charcot-Marie-Tooth disease, dominant intermediate E, 614455|Glomerulosclerosis, focal segmental, 5, 613237;
WBGene00019055		F58F9.1	ENSG00000048392;ENSG00000171848	RRM2B;RRM2	Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy), 612075|Mitochondrial DNA depletion syndrome 8B (MNGIE type), 612075|Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5, 613077;
WBGene00019060		F58F9.7	ENSG00000087008;ENSG00000153093	ACOX3;ACOXL	
WBGene00019061		F58F12.1	ENSG00000099624	ATP5D	
WBGene00019064	myo-5	F58G4.1	ENSG00000078814;ENSG00000092054;ENSG00000109061;ENSG00000109063;ENSG00000125414;ENSG00000133020;ENSG00000197616;ENSG00000006788;ENSG00000144821;ENSG00000264424;ENSG00000128833;ENSG00000167306;ENSG00000197535;ENSG00000100345;ENSG00000105357;ENSG00000133026;ENSG00000133392	MYH7B;MYH7;MYH1;MYH3;MYH2;MYH8;MYH6;MYH13;MYH15;MYH4;MYO5C;MYO5B;MYO5A;MYH9;MYH14;MYH10;MYH11	Cardiomyopathy, dilated, 1S, 613426|Cardiomyopathy, hypertrophic, 1, 192600|Laing distal myopathy, 160500|Left ventricular noncompaction 5, 613426|Myopathy, myosin storage, autosomal dominant, 608358|Myopathy, myosin storage, autosomal recessive, 255160|Scapuloperoneal syndrome, myopathic type, 181430;;Arthrogryposis, distal, type 2A, 193700|Arthrogryposis, distal, type 2B, 601680|Arthrogryposis, distal, type 8, 178110;Proximal myopathy and ophthalmoplegia, 605637;Carney complex variant, 608837|Trismus-pseudocamptodactyly syndrome, 158300;Atrial septal defect 3, 614089|Cardiomyopathy, dilated, 1EE, 613252|Cardiomyopathy, hypertrophic, 14, 613251|Sick sinus syndrome 3, 614090;;;;;Microvillus inclusion disease, 251850;Griscelli syndrome, type 1, 214450;Deafness, autosomal dominant 17, 603622|Epstein syndrome, 153650|Fechtner syndrome, 153640|Macrothrombocytopenia and progressive sensorineural deafness, 600208|May-Hegglin anomaly, 155100|Sebastian syndrome, 605249;Deafness, autosomal dominant 4A, 600652|Peripheral neuropathy, myopathy, hoarseness, and hearing loss, 614369;;Aortic aneurysm, familial thoracic 4, 132900
WBGene00019068	faah-3	F58H7.2	ENSG00000117480	FAAH	Drug addiction, susceptibility to, 606581
WBGene00019069	lgc-30	F58H7.3	ENSG00000149305;ENSG00000166736;ENSG00000178084;ENSG00000186038;ENSG00000186090;ENSG00000186919	HTR3B;HTR3A;HTR3C;HTR3E;HTR3D;ZACN	
WBGene00019074	cpd-1	F59A3.1	ENSG00000108582;ENSG00000109472;ENSG00000120054;ENSG00000135678	CPD;CPE;CPN1;CPM	Carboxypeptidase N deficiency, 212070;
WBGene00019076	mrpl-24	F59A3.3	ENSG00000143314	MRPL24	
WBGene00019077		F59A3.4	ENSG00000133195	SLC39A11	
WBGene00019079	rpa-4	F59A3.6	ENSG00000117748;ENSG00000204086	RPA2;RPA4	
WBGene00019081		F59A3.8	ENSG00000151422;ENSG00000182511	FER;FES	
WBGene00019082	pup-3	F59A3.9	ENSG00000164329	PAPD4	
WBGene00019085		F59A6.3	ENSG00000206463		
WBGene00019087		F59A6.5	ENSG00000122966	CIT	Microcephaly 17, primary, autosomal recessive, 617090
WBGene00019094		F59A7.7	ENSG00000160200;ENSG00000274276	CBS;CBSL	Homocystinuria, B6-responsive and nonresponsive types, 236200|Thrombosis, hyperhomocysteinemic, 236200;
WBGene00019096	cysl-4	F59A7.9	ENSG00000160200;ENSG00000274276	CBS;CBSL	Homocystinuria, B6-responsive and nonresponsive types, 236200|Thrombosis, hyperhomocysteinemic, 236200;
WBGene00019102		F59C12.3	ENSG00000166025;ENSG00000126016;ENSG00000114019	AMOTL1;AMOT;AMOTL2	
WBGene00019104	asp-7	F59D6.2	ENSG00000096088;ENSG00000182240;ENSG00000186318;ENSG00000196188;ENSG00000229183;ENSG00000229859;ENSG00000256713	PGC;BACE2;BACE1;CTSE;PGA4;PGA3;PGA5	
WBGene00019105	asp-8	F59D6.3	ENSG00000096088;ENSG00000182240;ENSG00000186318;ENSG00000196188;ENSG00000229183;ENSG00000229859;ENSG00000256713	PGC;BACE2;BACE1;CTSE;PGA4;PGA3;PGA5	
WBGene00019108	chpf-2	F59D6.7	ENSG00000187446;ENSG00000166869;ENSG00000088992	CHP1;CHP2;TESC	
WBGene00019109		F59E11.2	ENSG00000157379	DHRS1	
WBGene00019120	npl-4.1	F59E12.4	ENSG00000182446	NPLOC4	
WBGene00019121	npl-4.2	F59E12.5	ENSG00000182446	NPLOC4	
WBGene00019125	ddl-1	F59E12.10	ENSG00000120860	WASHC3	
WBGene00019126	sam-4	F59E12.11	ENSG00000165714;ENSG00000280689	BORCS5;BORCS5	
WBGene00019127	cgt-3	F59G1.1	ENSG00000148154	UGCG	
WBGene00019128		F59G1.4	ENSG00000135931	ARMC9	Joubert syndrome 30, 617622
WBGene00019146		H02F09.3	ENSG00000145113;ENSG00000181143;ENSG00000205277;ENSG00000110799;ENSG00000117983;ENSG00000165899;ENSG00000169876;ENSG00000184956;ENSG00000188162;ENSG00000197558;ENSG00000198788;ENSG00000205592	MUC4;MUC16;MUC12;VWF;MUC5B;OTOGL;MUC17;MUC6;OTOG;SSPO;;	von Willebrand disease, type 1, 193400|von Willebrand disease, types 2A, 2B, 2M, and 2N, 613554|von Willibrand disease, type 3, 277480;Pulmonary fibrosis, idiopathic, susceptibility to, 178500;Deafness, autosomal recessive 84B, 614944;;;Deafness, autosomal recessive 18B, 614945;;;
WBGene00019151	pck-3	H04M03.1	ENSG00000100889;ENSG00000124253	PCK2;PCK1	PEPCK deficiency, mitochondrial, 261650;Phosphoenolpyruvate carboxykinase deficiency, cytosolic, 261680
WBGene00019162	eif-1.A	H06H21.3	ENSG00000198692;ENSG00000173674	EIF1AY;EIF1AX	
WBGene00019163	ubxn-6	H06H21.6	ENSG00000167671	UBXN6	
WBGene00019166	tat-2	H06H21.10	ENSG00000143515;ENSG00000104043;ENSG00000081923;ENSG00000124406;ENSG00000132932;ENSG00000058063;ENSG00000068650;ENSG00000101974;ENSG00000130270	ATP8B2;ATP8B4;ATP8B1;ATP8A1;ATP8A2;ATP11B;ATP11A;ATP11C;ATP8B3	Cholestasis, benign recurrent intrahepatic, 243300|Cholestasis, intrahepatic, of pregnancy, 1, 147480|Cholestasis, progressive familial intrahepatic 1, 211600;;Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4, 615268;;;;
WBGene00019168		H06I04.3	ENSG00000108592;ENSG00000122687	FTSJ3;MRM2	
WBGene00019178	scl-12	H10D18.2	ENSG00000096006;ENSG00000124490;ENSG00000139278;ENSG00000101074;ENSG00000103196;ENSG00000121005;ENSG00000124812;ENSG00000137558;ENSG00000164530;ENSG00000173401;ENSG00000140839;ENSG00000157322;ENSG00000157335;ENSG00000180481	CRISP3;CRISP2;GLIPR1;R3HDML;CRISPLD2;CRISPLD1;CRISP1;PI15;PI16;GLIPR1L1;CLEC18B;CLEC18A;CLEC18C;GLIPR1L2	
WBGene00019179	scl-13	H10D18.4	ENSG00000096006;ENSG00000124490;ENSG00000139278;ENSG00000101074;ENSG00000103196;ENSG00000121005;ENSG00000124812;ENSG00000137558;ENSG00000164530;ENSG00000173401;ENSG00000140839;ENSG00000157322;ENSG00000157335;ENSG00000180481	CRISP3;CRISP2;GLIPR1;R3HDML;CRISPLD2;CRISPLD1;CRISP1;PI15;PI16;GLIPR1L1;CLEC18B;CLEC18A;CLEC18C;GLIPR1L2	
WBGene00019185		H10E21.5	ENSG00000113269;ENSG00000133135;ENSG00000163162;ENSG00000170153;ENSG00000188050;ENSG00000235631	RNF130;RNF128;RNF149;RNF150;RNF133;RNF148	
WBGene00019196		H14A12.3	ENSG00000067836	ROGDI	Kohlschutter-Tonz syndrome, 226750
WBGene00019204		H14N18.4	ENSG00000100031;ENSG00000133475;ENSG00000100121;ENSG00000149435;ENSG00000274252;ENSG00000099998;ENSG00000131067	GGT1;GGT2;GGTLC2;GGTLC1;GGTLC3;GGT5;GGT7	Gamma-glutamyltransferase, familial high serum|Glutathioninuria, 231950;;;;;;
WBGene00019205	kcc-2	H16O14.1	ENSG00000124067;ENSG00000113504;ENSG00000124140;ENSG00000140199	SLC12A4;SLC12A7;SLC12A5;SLC12A6	Epilepsy, idiopathic generalized, susceptibility to, 14, 616685|Epileptic encephalopathy, early infantile, 34, 616645;Agenesis of the corpus callosum with peripheral neuropathy, 218000
WBGene00019207	fgt-1	H17B01.1	ENSG00000059804;ENSG00000117394;ENSG00000173262;ENSG00000181856;ENSG00000163581;ENSG00000109667;ENSG00000133460;ENSG00000142583;ENSG00000197241;ENSG00000251357	SLC2A3;SLC2A1;SLC2A14;SLC2A4;SLC2A2;SLC2A9;SLC2A11;SLC2A5;SLC2A7;	Dystonia 9, 601042|Epilepsy, idiopathic generalized, susceptibility to, 12, 614847|GLUT1 deficiency syndrome 1, infantile onset, severe, 606777|GLUT1 deficiency syndrome 2, childhood onset, 612126|Stomatin-deficient cryohydrocytosis with neurologic defects, 608885;;;Diabetes mellitus, noninsulin-dependent, 125853|Fanconi-Bickel syndrome, 227810;Hypouricemia, renal, 2, 612076|Uric acid concentration, serum, QTL 2, 612076;;;;
WBGene00019209	emc-1	H17B01.4	ENSG00000127463	EMC1	Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875
WBGene00019211		H18N23.2	ENSG00000173281;ENSG00000119938	PPP1R3B;PPP1R3C	
WBGene00019212	zmp-2	H19M22.3	ENSG00000154485;ENSG00000169393;ENSG00000189409	MMP21;ELSPBP1;MMP23B	Heterotaxy, visceral, 7, autosomal, 616749;;
WBGene00019217	athp-2	H20J04.2	ENSG00000198604;ENSG00000009954	BAZ1A;BAZ1B	
WBGene00019219		H20J04.4	ENSG00000105671	DDX49	
WBGene00019220	pfd-2	H20J04.5	ENSG00000143256	PFDN2	
WBGene00019221		H20J04.6	ENSG00000186501	TMEM222	
WBGene00019225	bgal-2	H22K11.2	ENSG00000170266;ENSG00000163521;ENSG00000149328;ENSG00000166105	GLB1;GLB1L;GLB1L2;GLB1L3	GM1-gangliosidosis, type I, 230500|GM1-gangliosidosis, type II, 230600|GM1-gangliosidosis, type III, 230650|Mucopolysaccharidosis type IVB (Morquio), 253010;;;
WBGene00019227	sgca-1	H22K11.4	ENSG00000108823;ENSG00000127990	SGCA;SGCE	Muscular dystrophy, limb-girdle, type 2D, 608099;Dystonia-11, myoclonic, 159900
WBGene00019229	ipla-5	H23L24.2	ENSG00000184381	PLA2G6	Infantile neuroaxonal dystrophy 1, 256600|Neurodegeneration with brain iron accumulation 2B, 610217|Parkinson disease 14, autosomal recessive, 612953
WBGene00019230	ttll-11	H23L24.3	ENSG00000175764;ENSG00000137941;ENSG00000170703;ENSG00000213471	TTLL11;TTLL7;TTLL6;TTLL13P	
WBGene00019232	ugt-13	H23N18.1	ENSG00000145626;ENSG00000168671	UGT3A1;UGT3A2	
WBGene00019233	ugt-14	H23N18.2	ENSG00000145626;ENSG00000156096;ENSG00000167165;ENSG00000168671;ENSG00000171234;ENSG00000174607;ENSG00000213759;ENSG00000240224;ENSG00000241119;ENSG00000242366;ENSG00000242515;ENSG00000243135;ENSG00000244122;ENSG00000244474;ENSG00000271271;ENSG00000278216	UGT3A1;UGT2B4;UGT1A6;UGT3A2;UGT2B7;UGT8;UGT2B11;UGT1A5;UGT1A9;UGT1A8;UGT1A10;UGT1A3;UGT1A7;UGT1A4;UGT2A2;UGT2A3	
WBGene00019234	ugt-8	H23N18.3	ENSG00000145626;ENSG00000168671	UGT3A1;UGT3A2	
WBGene00019235		H23N18.4	ENSG00000145626;ENSG00000168671	UGT3A1;UGT3A2	
WBGene00019237		H24G06.1	ENSG00000075702;ENSG00000137802	WDR62;MAPKBP1	Microcephaly 2, primary, autosomal recessive, with or without cortical malformations, 604317;Nephronophthisis 20, 617271
WBGene00019240		H24K24.3	ENSG00000197894;ENSG00000187758;ENSG00000196616;ENSG00000172955;ENSG00000196344;ENSG00000198099;ENSG00000248144	ADH5;ADH1A;ADH1B;ADH6;ADH7;ADH4;ADH1C	Aerodigestive tract cancer, squamous cell, alcohol-related, protection against|Alcohol dependence, protection against, 103780;;;;Alcohol dependence, protection against, 103780|Parkinson disease, susceptibility to, 168600
WBGene00019241		H24K24.4	ENSG00000099899;ENSG00000188917	TRMT2A;TRMT2B	
WBGene00019245	sacy-1	H27M09.1	ENSG00000183258	DDX41	Myeloproliferative/lymphoproliferative neoplasms, familial (multiple types), susceptibility to, 616871
WBGene00019246	rpb-5	H27M09.2	ENSG00000099817	POLR2E	
WBGene00019247	syp-4	H27M09.3	ENSG00000174450	GOLGA6L2	
WBGene00019248		H27M09.5	ENSG00000123416	TUBA1B	
WBGene00019249		H28G03.1	ENSG00000122566;ENSG00000135486;ENSG00000139675;ENSG00000170144;ENSG00000177733	HNRNPA2B1;HNRNPA1;HNRNPA1L2;HNRNPA3;HNRNPA0	Inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia 2, 615422;Amyotrophic lateral sclerosis 20, 615426|Inclusion body myopathy with early-onset Paget disease without frontotemporal dementia 3, 615424;;;
WBGene00019255		H32C10.1	ENSG00000069998	HDHD5	
WBGene00019257	dhhc-13	H32C10.3	ENSG00000177054;ENSG00000186908;ENSG00000160446	ZDHHC13;ZDHHC17;ZDHHC12	
WBGene00019259		H34C03.2	ENSG00000114316;ENSG00000135655;ENSG00000102226	USP4;USP15;USP11	
WBGene00019264		H35B03.2	ENSG00000148688	RPP30	
WBGene00019268		H41C03.1	ENSG00000214491;ENSG00000100003;ENSG00000100012;ENSG00000133488;ENSG00000249590	SEC14L6;SEC14L2;SEC14L3;SEC14L4;	
WBGene00019270		H41C03.3	ENSG00000111846;ENSG00000124091;ENSG00000140297;ENSG00000176928;ENSG00000187210	GCNT2;GCNT7;GCNT3;GCNT4;GCNT1	Adult i phenotype without cataract, 110800|Blood group, Ii, 110800|Cataract 13 with adult i phenotype, 116700;;;;
WBGene00019272		H42K12.3	ENSG00000167977;ENSG00000180901	KCTD5;KCTD2	
WBGene00019273		H43E16.1	ENSG00000145113;ENSG00000102804;ENSG00000181143;ENSG00000205277;ENSG00000110799;ENSG00000117983;ENSG00000165899;ENSG00000169876;ENSG00000184956;ENSG00000188162;ENSG00000197558;ENSG00000198788;ENSG00000205592	MUC4;TSC22D1;MUC16;MUC12;VWF;MUC5B;OTOGL;MUC17;MUC6;OTOG;SSPO;;	von Willebrand disease, type 1, 193400|von Willebrand disease, types 2A, 2B, 2M, and 2N, 613554|von Willibrand disease, type 3, 277480;Pulmonary fibrosis, idiopathic, susceptibility to, 178500;Deafness, autosomal recessive 84B, 614944;;;Deafness, autosomal recessive 18B, 614945;;;
